key,message_id,status,timestamp
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRTNBQTc2NzQ0RTBEMzVDRDMyAA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRTNBQTc2NzQ0RTBEMzVDRDMyAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRTNBQTc2NzQ0RTBEMzVDRDMyAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRTNBQTc2NzQ0RTBEMzVDRDMyAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMTc4REQzMDAwREEzQzU3Q0Y0AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMTc4REQzMDAwREEzQzU3Q0Y0AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTZCMkQ4NkMyRTU2N0U3MUM3AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTZCMkQ4NkMyRTU2N0U3MUM3AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMEE0QTM1N0E0NUNCRDZFQzI2AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMEE0QTM1N0E0NUNCRDZFQzI2AA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOEU0ODM3RUY0RjQ2RkZCQTk5AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOEU0ODM3RUY0RjQ2RkZCQTk5AA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQUM2NzZBNDFGMjU4RjFBRjRFAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQUM2NzZBNDFGMjU4RjFBRjRFAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMkI2QUU4OEVFRTM2NjhEOTY1AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMkI2QUU4OEVFRTM2NjhEOTY1AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTZCMkQ4NkMyRTU2N0U3MUM3AA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNTZCMkQ4NkMyRTU2N0U3MUM3AA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMjQ4NUMwMEVEREJFNzNCOEY0AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMjQ4NUMwMEVEREJFNzNCOEY0AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMEE0QTM1N0E0NUNCRDZFQzI2AA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMEE0QTM1N0E0NUNCRDZFQzI2AA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMjA5QURERDM3NTYwNjgwRjhBAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMjA5QURERDM3NTYwNjgwRjhBAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNkY5M0Q1NENFN0ZBQUJEMDcxAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNkY5M0Q1NENFN0ZBQUJEMDcxAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSOTY4MzE3RTRGMTZFRDJFQzUwAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSOTY4MzE3RTRGMTZFRDJFQzUwAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNEFCNEJDNUJDNURCQTlDQTk0AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNEFCNEJDNUJDNURCQTlDQTk0AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSREUwNTYzOTlGNTMxOTAzOUM2AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSREUwNTYzOTlGNTMxOTAzOUM2AA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOTkyNkYyMzg2OEM5RTMyNjcxAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOTkyNkYyMzg2OEM5RTMyNjcxAA==,delivered,
